quote_date,status,n_options,n_adjusted,mean_adjustment,max_adjustment,pct_within_bidask
2025-10-01,optimal,4928,4053,0.06110268673714014,1.9049999947624556,100.0
2025-10-02,optimal,4925,3981,0.05804095160987797,1.8199999991228566,100.0
2025-10-03,optimal,4816,3957,0.04753384341688812,1.738921551914757,100.0
2025-10-06,optimal,4784,3910,0.0325706091611624,1.6978571372807352,100.0
2025-10-07,optimal,4712,3869,0.0325864857670072,1.334999999965362,100.0
2025-10-08,optimal,4677,3873,0.03040131059301857,1.3899999999820807,100.0
2025-10-09,optimal,4644,3782,0.04099286966883814,1.0949999999546378,100.0
2025-10-10,optimal,4526,3560,0.04334346515475531,0.8598017381426644,100.0
2025-10-13,optimal,4469,3539,0.028687584834118495,1.220000000026019,100.0
2025-10-14,optimal,4589,3715,0.04325497244501454,1.602000037685741,100.0
2025-10-15,optimal,4557,3630,0.032796861951076804,0.6152859775518067,100.0
2025-10-16,optimal,4522,3605,0.035670643667115524,0.9249999999450154,100.0
2025-10-17,optimal,4554,3597,0.022586055744767262,0.8687568307881293,100.0
2025-10-20,optimal,4451,3581,0.01976130022268862,0.6036721246590702,100.0
2025-10-21,optimal,4419,3491,0.014855827003479743,0.6072499472556387,100.0
2025-10-22,optimal,4324,3404,0.019130034771213097,0.682691506896262,100.0
2025-10-23,optimal,4384,3400,0.01190276194755704,1.1975582284808013,100.0
2025-10-24,optimal,4556,3697,0.03430882017478181,1.2057282415416353,100.0
2025-10-27,optimal,4713,3949,0.04042106384125739,1.5649999974525883,100.0
2025-10-28,optimal,4859,3989,0.05968768634013203,1.5054876185086528,100.0
2025-10-29,optimal,4951,4045,0.04681389719202232,1.5399999917242155,100.0
2025-10-30,optimal,4961,4254,0.03601391359774139,0.8391641818567308,100.0
2025-10-31,optimal,4963,4004,0.03805432167419152,1.3153397267276716,100.0
