quote_date,expiration,k1,k2,k3,p1,p2,p3,second_diff,rule
2025-10-01,2025-10-02,540.0,545.0,550.0,128.96168461051204,123.97664377990876,118.99109240173799,-0.0005105475674866966,convexity
2025-10-01,2025-10-02,550.0,551.0,552.0,118.99109240173799,117.99136760380702,116.99084335756069,-0.0007994483153623833,convexity
2025-10-01,2025-10-02,572.0,573.0,574.0,96.98035843263757,95.9798341863914,94.97612624500088,-0.003183695144343801,convexity
2025-10-01,2025-10-02,573.0,574.0,575.0,95.9798341863914,94.97612624500088,93.96348500251182,-0.008933301098551283,convexity
2025-10-01,2025-10-02,574.0,575.0,576.0,94.97612624500088,93.96348500251182,92.94423997907754,-0.006603780945212634,convexity
2025-10-01,2025-10-02,575.0,576.0,577.0,93.96348500251182,92.94423997907754,91.92484149000607,-0.00015346563718310335,convexity
2025-10-01,2025-10-02,576.0,577.0,578.0,92.94423997907754,91.92484149000607,90.90461570076837,-0.0008273001662360002,convexity
2025-10-01,2025-10-02,578.0,579.0,580.0,90.90461570076837,89.88804532989506,88.86527617030454,-0.006198788717213688,convexity
2025-10-01,2025-10-02,581.0,582.0,583.0,87.84684304062189,86.82902101433865,85.80724389527298,-0.003955092782433667,convexity
2025-10-01,2025-10-02,584.0,585.0,586.0,84.78636492107228,83.768967091466,82.75025133788574,-0.0013179239739713466,convexity
2025-10-01,2025-10-02,585.0,586.0,587.0,83.768967091466,82.75025133788574,81.72723525467319,-0.004300329632300759,convexity
2025-10-01,2025-10-02,588.0,589.0,590.0,80.70788032485291,79.69349275228869,78.6753309475472,-0.003774232177278236,convexity
2025-10-01,2025-10-02,589.0,590.0,591.0,79.69349275228869,78.6753309475472,77.65369318830253,-0.003475954503173284,convexity
2025-10-01,2025-10-02,590.0,591.0,592.0,78.6753309475472,77.65369318830253,76.63024214518498,-0.0018132838728774914,convexity
2025-10-01,2025-10-02,593.0,594.0,595.0,75.61138384090779,74.59820175742625,73.58106627462638,-0.00395339931833405,convexity
2025-10-01,2025-10-02,594.0,595.0,596.0,74.59820175742625,73.58106627462638,72.55150427494553,-0.012426516880978511,convexity
2025-10-01,2025-10-02,596.0,597.0,598.0,72.55150427494553,71.54062730593616,70.50643627831109,-0.023314058615696354,convexity
2025-10-01,2025-10-02,598.0,599.0,600.0,70.50643627831109,69.49517337714354,68.47951632515024,-0.0043941508257603346,convexity
2025-10-01,2025-10-02,599.0,600.0,601.0,69.49517337714354,68.47951632515024,67.45769743819987,-0.006161834957069345,convexity
2025-10-01,2025-10-02,603.0,604.0,605.0,65.66722850688305,64.8668226361927,63.89033225684814,-0.1760845086541991,convexity
2025-10-01,2025-10-02,604.0,605.0,606.0,64.8668226361927,63.89033225684814,62.88421922161568,-0.02962265588790558,convexity
2025-10-01,2025-10-02,606.0,607.0,608.0,62.88421922161568,61.949885246971384,60.96148556777617,-0.05406570455091497,convexity
2025-10-01,2025-10-02,607.0,608.0,609.0,61.949885246971384,60.96148556777617,59.96096132153004,-0.012124567050918245,convexity
2025-10-01,2025-10-03,550.0,551.0,552.0,119.45373333627043,118.45571362384547,117.44887583744094,-0.008818073979568908,convexity
